alpha = 0.010000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.035000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.060000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.085000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.110000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.135000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.160000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.185000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.210000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.235000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.260000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.285000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.310000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.335000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.360000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.385000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.410000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.435000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.460000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.485000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.510000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.535000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.560000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.585000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.610000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.635000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.660000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.685000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.710000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.735000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.760000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.785000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.810000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.835000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.860000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.885000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.910000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.935000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.960000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 0.985000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 1.010000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 1.035000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 1.060000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 1.085000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
alpha = 1.110000, tolerance = 0.000010, mean = 0.271466, std = 0.110727
