customer_ID,day,group_size,homeowner,car_age,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,cost,car_vv,A,B,C,D,E,F,G,A_last,B_last,C_last,D_last,E_last,F_last,G_last,A_num,B_num,C_num,D_num,E_num,F_num,G_num,A_cheap,B_cheap,C_cheap,D_cheap,E_cheap,F_cheap,G_cheap,A_res,B_res,C_res,D_res,E_res,F_res,G_res
10000000,0,2.0,0.0,2.0,3.0,46.0,42.0,1.0,1.0,2.0,633.375,7.0,1.0,0.0,2.0,2.0,1.0,2.0,1.125,1,0,2,2,1,2,1,1,1,1,1,1,1,2,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1,0,2,2,1,2,1
10000005,3,1.0,0.0,10.0,4.0,28.0,28.0,0.0,3.0,13.0,745.2,5.0,0.6,0.6,3.0,2.6,0.6,0.0,2.0,0,0,3,2,0,0,2,2,2,1,2,2,1,1,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0,0,3,2,0,0,2
10000007,4,1.0,0.0,11.0,,43.0,43.0,0.0,2.0,4.0,609.2857142857143,3.0,0.0,0.0,1.5714285714285714,1.8571428571428572,0.0,0.0,1.2857142857142858,0,0,2,2,0,0,1,1,1,2,3,1,1,2,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0,0,1,2,0,0,1
10000013,2,2.0,1.0,3.0,3.0,62.0,60.0,1.0,3.0,3.0,625.3333333333334,4.0,1.0,1.0,3.0,2.0,1.0,1.6666666666666667,3.0,1,1,3,2,1,1,3,1,1,1,1,1,2,1,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1,1,3,2,1,1,3
10000014,4,1.0,0.0,5.0,3.0,32.0,28.0,1.0,1.0,2.0,599.6,4.0,1.2,1.0,1.4,1.4,0.0,2.0,2.0,1,1,1,1,0,2,2,2,1,2,2,1,1,1,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1,1,1,1,0,2,2
10000016,2,1.0,0.0,6.0,,24.0,24.0,0.0,3.0,9.0,589.2222222222222,4.0,1.8888888888888888,0.8888888888888888,3.0,3.0,0.8888888888888888,2.7777777777777777,3.0,2,0,3,3,1,3,3,2,2,1,1,2,2,1,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2,0,3,3,0,3,3
10000019,1,1.0,0.0,7.0,,21.0,21.0,0.0,2.0,4.0,682.7142857142857,4.0,2.0,0.0,2.0,3.0,0.0,2.0,3.0,2,0,2,3,0,2,3,1,1,1,1,1,1,1,2.0,0.0,2.0,3.0,0.0,2.0,3.0,2,1,2,3,1,2,3
10000023,0,1.1666666666666667,1.0,2.0,3.0,31.0,31.0,0.0,1.0,13.0,625.5,6.0,1.0,1.0,1.6666666666666667,3.0,1.0,1.0,2.0,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1,1,1,3,1,1,2
10000025,0,2.0,1.0,15.0,2.0,52.0,17.0,0.0,3.0,0.0,605.5,4.0,0.16666666666666666,0.0,1.3333333333333333,2.0,0.0,0.16666666666666666,3.0,0,0,1,1,0,0,3,2,1,2,2,1,2,1,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0,0,1,1,0,0,3
10000026,1,2.0,1.0,5.0,3.0,59.0,57.0,1.0,3.0,1.0,561.3333333333334,4.0,1.0,0.3333333333333333,3.0,3.0,0.3333333333333333,2.0,3.0,1,1,3,3,1,2,3,1,2,1,1,2,1,1,1.0,0.0,3.0,3.0,0.0,2.0,3.0,1,1,3,3,1,2,3
