customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,car_vv
10000000,8,1,1,7,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,2,3,1
10000005,5,1,1,3,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,2,1,2,2,1,1,3,1
10000007,7,1,1,6,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,2,3,1,1,2,4,1
10000013,3,1,1,3,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,2,1,3,1
10000014,5,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,2,2,1,1,1,3,1
10000016,9,1,1,8,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,2,1,1,2,2,1,5,1
10000019,7,1,1,7,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,2,1
10000023,6,1,1,5,1,1,2,1,1,1,1.0,1,1,1,1.0,1.0,1,1,2,1,1,1,1,4,1
10000025,6,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,2,2,1,2,1,4,1
10000026,3,1,1,2,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,2,1,1,2,1,1,2,1
10000027,5,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,2,2,1,2,1,5,1
10000028,5,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,1,2,1,1,1,2,1
10000031,7,1,1,7,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,2,2,2,1,2,3,1
10000032,6,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,1,1,1,3,2,4,1
10000033,6,1,1,5,1,1,1,1,1,1,2.0,1,1,1,2.0,2.0,2,1,1,1,1,2,2,5,1
10000034,6,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,2,1,2,1,1,2,5,1
10000036,10,1,1,9,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,1,1,2,1,1,3,1
10000037,5,1,1,4,1,1,1,1,1,1,1.0,1,1,1,1.0,2.0,1,1,1,1,1,1,1,3,1
10000038,6,1,1,4,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,2,1,1,1,1,4,1
10000039,8,1,1,7,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,5,1
10000040,3,1,1,2,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,2,1,1,2,1,1,3,1
10000041,7,1,1,6,1,1,1,1,1,2,1.0,1,1,1,1.0,1.0,2,1,2,2,2,2,2,3,2
10000042,3,1,1,3,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,2,2,1
10000043,6,1,1,6,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,2,1,1,3,1
10000047,7,1,1,7,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,2,1,2,1,1,4,1
10000048,8,1,1,8,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,1,1,1,2,2,3,1
10000049,9,1,1,8,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,2,1,1,2,2,2,1,5,1
10000052,7,1,1,6,1,1,1,2,1,1,2.0,1,1,1,1.0,1.0,1,1,1,1,1,2,1,3,1
10000054,2,1,1,2,1,1,1,1,1,1,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,2,1
10000055,6,1,1,5,1,1,1,1,1,1,1.0,1,1,1,1.0,2.0,1,1,2,1,1,1,1,2,1
