customer_ID,A_res,B_res,C_res,D_res,E_res,F_res,G_res
10000000,1,0,2,2,1,2,1
10000005,0,0,3,2,0,0,2
10000007,0,0,1,2,0,0,1
10000013,1,1,3,2,1,1,3
10000014,1,1,1,1,0,2,2
10000016,2,0,3,3,0,3,3
10000019,2,1,2,3,1,2,3
10000023,1,1,1,3,1,1,2
10000025,0,0,1,1,0,0,3
10000026,1,1,3,3,1,2,3
10000027,0,0,2,2,0,0,1
10000028,1,0,1,3,0,2,3
10000031,1,1,1,1,0,1,2
10000032,1,1,3,3,0,2,3
10000033,2,0,1,1,0,1,2
10000034,2,1,2,3,0,2,2
10000036,1,1,3,3,0,2,3
10000037,1,0,1,2,1,2,2
10000038,1,1,1,1,1,2,2
10000039,1,1,3,3,1,2,3
10000040,1,1,3,3,1,2,1
10000041,0,1,1,1,0,0,3
10000042,1,1,3,3,1,1,3
10000043,1,0,3,3,0,0,2
10000047,1,0,3,3,1,1,3
10000048,0,0,1,1,0,0,3
10000049,0,1,1,1,0,0,2
10000052,2,1,3,3,1,3,3
10000054,1,1,1,2,1,2,3
10000055,2,1,4,3,0,1,2
10000057,1,0,3,3,1,0,2
10000059,2,1,3,3,1,0,1
10000060,1,0,1,1,0,2,2
10000061,2,1,1,1,1,2,3
10000062,1,1,3,2,1,1,3
10000063,2,0,3,3,0,3,3
10000064,0,0,2,2,0,0,2
10000066,1,0,3,3,0,2,2
10000068,1,0,3,3,0,0,2
10000069,0,1,2,2,0,2,1
10000072,2,0,1,1,0,2,2
10000075,2,1,1,1,0,2,2
10000076,2,0,1,1,1,0,2
10000077,1,0,3,3,0,1,2
10000078,0,0,1,2,0,0,3
10000079,1,0,3,3,0,1,2
10000080,1,0,4,3,0,1,4
10000082,2,0,3,3,0,0,2
10000084,1,0,3,3,0,0,1
10000086,1,1,3,3,1,2,2
10000088,0,0,2,2,0,0,2
10000091,1,0,1,1,1,1,3
10000092,1,0,1,1,0,2,1
10000094,1,1,4,3,0,1,3
10000095,0,0,1,1,0,0,1
10000096,1,0,3,3,1,2,1
10000097,1,0,1,2,0,2,2
10000098,1,1,3,3,1,2,3
10000100,1,1,3,3,1,1,3
10000103,2,0,4,3,1,2,3
10000104,1,0,3,3,1,1,3
10000105,1,0,3,2,0,1,2
10000107,1,1,1,2,1,2,3
10000108,1,0,2,3,0,1,1
10000111,1,1,3,3,0,2,3
10000112,1,0,4,3,1,1,3
10000113,1,1,3,3,1,1,2
10000115,1,0,3,2,0,0,1
10000116,0,0,3,3,0,0,3
10000117,1,0,3,2,1,0,2
10000118,1,1,3,3,1,0,2
10000121,1,0,1,3,0,2,1
10000122,2,1,1,2,1,3,2
10000123,1,0,4,3,0,1,1
10000124,0,1,3,3,0,0,1
10000125,1,1,1,3,1,2,4
10000126,1,1,3,2,1,1,4
10000127,1,0,3,3,0,2,3
10000128,0,1,2,3,0,0,2
10000129,1,1,1,2,1,2,2
10000130,1,0,2,3,0,2,4
10000131,2,1,1,3,1,2,4
10000132,2,0,2,3,0,2,3
10000133,1,1,4,3,0,2,2
10000134,1,0,2,3,1,0,2
10000135,0,1,1,1,0,0,1
10000136,0,0,3,3,0,0,3
10000137,1,0,2,3,0,2,2
10000138,1,1,3,3,0,2,3
10000139,2,1,3,3,1,2,4
10000141,1,0,3,3,1,2,4
10000143,0,0,2,3,0,0,2
10000144,2,1,4,3,1,2,3
10000145,1,1,1,3,1,2,2
10000147,1,0,3,3,1,0,1
10000148,1,1,2,2,1,2,3
10000150,1,0,2,2,0,0,2
10000151,1,1,3,3,0,2,1
10000152,0,0,1,1,0,0,1
10000154,0,0,3,3,0,0,1
10000155,1,0,3,2,0,0,1
10000156,2,1,1,2,1,1,4
10000158,2,1,2,2,1,3,3
10000159,1,0,1,2,1,2,1
10000160,1,1,4,3,0,1,2
10000161,0,0,2,2,0,0,2
